ID,Case Number,Date,Block,IUCR,PrimaryType,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11438057,JB424539,09/01/2018 12:01:00 AM,023XX W SHAKESPEARE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1432,14,32,22,5,1160396,1914333,2018,09/09/2018 03:52:50 PM,41.9206323,-87.68609677,"(41.920632304, -87.686096772)"
11437850,JB423202,09/01/2018 12:01:00 AM,108XX S WABASH AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,513,5,9,49,3,1178496,1833204,2018,09/08/2018 04:01:32 PM,41.69761312,-87.62206127,"(41.697613123, -87.622061265)"
11432891,JB417702,09/01/2018 12:39:00 AM,025XX W THOMAS ST,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,1211,12,26,24,5,1159179,1907229,2018,09/28/2018 04:00:03 PM,41.90116349,-87.69076383,"(41.901163492, -87.690763827)"
11439965,JB427041,09/01/2018 01:00:00 AM,073XX S MARSHFIELD AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,735,7,17,67,5,1166614,1856015,2018,09/12/2018 04:00:35 PM,41.76047099,-87.66491816,"(41.76047099, -87.664918155)"
11432908,JB417784,09/01/2018 01:00:00 AM,069XX S WABASH AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,322,3,6,69,5,1177924,1859000,2018,09/08/2018 04:01:32 PM,41.76841353,-87.62337652,"(41.768413526, -87.623376516)"
11437258,JB423342,09/01/2018 02:28:00 AM,038XX W MONTROSE AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,1723,17,39,16,3,1149850,1928962,2018,09/08/2018 04:01:32 PM,41.96098735,-87.72446338,"(41.960987351, -87.724463378)"
11432892,JB417740,09/01/2018 02:30:00 AM,010XX N CROSBY ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1822,18,27,8,5,1171841,1907186,2018,09/08/2018 04:01:32 PM,41.90077583,-87.64425671,"(41.900775829, -87.644256705)"
11449216,JB417475,09/01/2018 02:51:00 AM,040XX N ELSTON AVE,620,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,FALSE,FALSE,1723,17,39,16,5,1151081,1926526,2018,09/20/2018 03:58:47 PM,41.9542787,-87.72000165,"(41.954278702, -87.720001648)"
11432759,JB417572,09/01/2018 03:00:00 AM,068XX S ASHLAND AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,725,7,17,67,5,1166854,1859317,2018,09/08/2018 04:01:32 PM,41.769527,-87.66394437,"(41.769526997, -87.663944366)"
11432678,JB417468,09/01/2018 03:43:00 AM,069XX S MAPLEWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,832,8,15,66,3,1160573,1858532,2018,09/08/2018 04:01:32 PM,41.76750468,-87.68698942,"(41.767504682, -87.686989416)"
11432949,JB417799,09/01/2018 04:00:00 AM,072XX S WOLCOTT AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,735,7,17,67,5,1164939,1856695,2018,09/08/2018 04:01:32 PM,41.76237256,-87.67103791,"(41.762372555, -87.671037914)"
